size;zvaz;max_turn;fora;pul;result
50;5;20;0;35;Победа Защиты
50;5;20;0;35;Победа Защиты
50;5;20;0;35;Победа Защиты
50;5;20;0;35;Победа Защиты
50;5;20;0;35;Победа Защиты
50;5;20;0;35;0.0%
50;5;20;0;40;Победа Защиты
50;5;20;0;40;Победа Защиты
50;5;20;0;40;Победа Защиты
50;5;20;0;40;Победа Защиты
50;5;20;0;40;Победа Защиты
50;5;20;0;40;0.0%
50;5;20;0;45;Победа Защиты
50;5;20;0;45;Победа Защиты
50;5;20;0;45;Победа Защиты
50;5;20;0;45;Победа Защиты
50;5;20;0;45;Победа Защиты
50;5;20;0;45;0.0%
50;5;20;0;50;Победа Защиты
50;5;20;0;50;Победа Защиты
50;5;20;0;50;Победа Защиты
50;5;20;0;50;Победа Защиты
50;5;20;0;50;Победа Защиты
50;5;20;0;50;0.0%
50;5;20;0;55;Победа Защиты
50;5;20;0;55;Победа Защиты
50;5;20;0;55;Победа Атаки intactness=1.0
50;5;20;0;55;Победа Защиты
50;5;20;0;55;Победа Защиты
50;5;20;0;55;20.0%
50;5;20;0;60;Победа Защиты
50;5;20;0;60;Победа Защиты
50;5;20;0;60;Победа Защиты
50;5;20;0;60;Победа Защиты
50;5;20;0;60;Победа Защиты
50;5;20;0;60;0.0%
50;5;20;0;65;Победа Защиты
50;5;20;0;65;Победа Защиты
50;5;20;0;65;Победа Защиты
50;5;20;0;65;Победа Защиты
50;5;20;0;65;Победа Защиты
50;5;20;0;65;0.0%
50;5;20;0;70;Победа Защиты
50;5;20;0;70;Победа Защиты
50;5;20;0;70;Победа Защиты
50;5;20;0;70;Победа Атаки intactness=1.0
50;5;20;0;70;Победа Защиты
50;5;20;0;70;20.0%
50;5;20;2;35;Победа Защиты
50;5;20;2;35;Победа Защиты
50;5;20;2;35;Победа Защиты
50;5;20;2;35;Победа Защиты
50;5;20;2;35;Победа Защиты
50;5;20;2;35;0.0%
50;5;20;2;40;Победа Защиты
50;5;20;2;40;Победа Защиты
50;5;20;2;40;Победа Защиты
50;5;20;2;40;Победа Защиты
50;5;20;2;40;Победа Защиты
50;5;20;2;40;0.0%
50;5;20;2;45;Победа Защиты
50;5;20;2;45;Победа Защиты
50;5;20;2;45;Победа Защиты
50;5;20;2;45;Победа Защиты
50;5;20;2;45;Победа Защиты
50;5;20;2;45;0.0%
50;5;20;2;50;Победа Защиты
50;5;20;2;50;Победа Защиты
50;5;20;2;50;Победа Защиты
50;5;20;2;50;Победа Защиты
50;5;20;2;50;Победа Атаки intactness=1.0
50;5;20;2;50;20.0%
50;5;20;2;55;Победа Защиты
50;5;20;2;55;Победа Защиты
50;5;20;2;55;Победа Защиты
50;5;20;2;55;Победа Защиты
50;5;20;2;55;Победа Защиты
50;5;20;2;55;0.0%
50;5;20;2;60;Победа Защиты
50;5;20;2;60;Победа Защиты
50;5;20;2;60;Победа Защиты
50;5;20;2;60;Победа Защиты
50;5;20;2;60;Победа Защиты
50;5;20;2;60;0.0%
50;5;20;2;65;Победа Защиты
50;5;20;2;65;Победа Защиты
50;5;20;2;65;Победа Защиты
50;5;20;2;65;Победа Защиты
50;5;20;2;65;Победа Защиты
50;5;20;2;65;0.0%
50;5;20;2;70;Победа Атаки intactness=1.0
50;5;20;2;70;Победа Атаки intactness=1.0
50;5;20;2;70;Победа Защиты
50;5;20;2;70;Победа Атаки intactness=1.0
50;5;20;2;70;Победа Защиты
50;5;20;2;70;60.0%
50;5;20;4;35;Победа Защиты
50;5;20;4;35;Победа Защиты
50;5;20;4;35;Победа Защиты
50;5;20;4;35;Победа Защиты
50;5;20;4;35;Победа Защиты
50;5;20;4;35;0.0%
50;5;20;4;40;Победа Защиты
50;5;20;4;40;Победа Защиты
50;5;20;4;40;Победа Защиты
50;5;20;4;40;Победа Защиты
50;5;20;4;40;Победа Защиты
50;5;20;4;40;0.0%
50;5;20;4;45;Победа Защиты
50;5;20;4;45;Победа Защиты
50;5;20;4;45;Победа Защиты
50;5;20;4;45;Победа Атаки intactness=1.0
50;5;20;4;45;Победа Защиты
50;5;20;4;45;20.0%
50;5;20;4;50;Победа Защиты
50;5;20;4;50;Победа Защиты
50;5;20;4;50;Победа Защиты
50;5;20;4;50;Победа Защиты
50;5;20;4;50;Победа Атаки intactness=1.0
50;5;20;4;50;20.0%
50;5;20;4;55;Победа Защиты
50;5;20;4;55;Победа Атаки intactness=1.0
50;5;20;4;55;Победа Защиты
50;5;20;4;55;Победа Защиты
50;5;20;4;55;Победа Атаки intactness=1.0
50;5;20;4;55;40.0%
50;5;20;4;60;Победа Защиты
50;5;20;4;60;Победа Защиты
50;5;20;4;60;Победа Защиты
50;5;20;4;60;Победа Атаки intactness=1.0
50;5;20;4;60;Победа Защиты
50;5;20;4;60;20.0%
50;5;20;4;65;Победа Защиты
50;5;20;4;65;Победа Защиты
50;5;20;4;65;Победа Защиты
50;5;20;4;65;Победа Защиты
50;5;20;4;65;Победа Защиты
50;5;20;4;65;0.0%
50;5;20;4;70;Победа Защиты
50;5;20;4;70;Победа Защиты
50;5;20;4;70;Победа Защиты
50;5;20;4;70;Победа Защиты
50;5;20;4;70;Победа Защиты
50;5;20;4;70;0.0%
50;5;20;6;35;Победа Защиты
50;5;20;6;35;Победа Защиты
50;5;20;6;35;Победа Защиты
50;5;20;6;35;Победа Защиты
50;5;20;6;35;Победа Защиты
50;5;20;6;35;0.0%
50;5;20;6;40;Победа Защиты
50;5;20;6;40;Победа Атаки intactness=1.0
50;5;20;6;40;Победа Атаки intactness=1.0
50;5;20;6;40;Победа Атаки intactness=1.0
50;5;20;6;40;Победа Защиты
50;5;20;6;40;60.0%
50;5;20;6;45;Победа Защиты
50;5;20;6;45;Победа Защиты
50;5;20;6;45;Победа Атаки intactness=1.0
50;5;20;6;45;Победа Атаки intactness=1.0
50;5;20;6;45;Победа Защиты
50;5;20;6;45;40.0%
50;5;20;6;50;Победа Защиты
50;5;20;6;50;Победа Атаки intactness=1.0
50;5;20;6;50;Победа Защиты
50;5;20;6;50;Победа Защиты
50;5;20;6;50;Победа Защиты
50;5;20;6;50;20.0%
50;5;20;6;55;Победа Атаки intactness=1.0
50;5;20;6;55;Победа Защиты
50;5;20;6;55;Победа Защиты
50;5;20;6;55;Победа Защиты
50;5;20;6;55;Победа Атаки intactness=1.0
50;5;20;6;55;40.0%
50;5;20;6;60;Победа Атаки intactness=1.0
50;5;20;6;60;Победа Защиты
50;5;20;6;60;Победа Защиты
50;5;20;6;60;Победа Атаки intactness=1.0
50;5;20;6;60;Победа Защиты
50;5;20;6;60;40.0%
50;5;20;6;65;Победа Защиты
50;5;20;6;65;Победа Атаки intactness=1.0
50;5;20;6;65;Победа Защиты
50;5;20;6;65;Победа Защиты
50;5;20;6;65;Победа Защиты
50;5;20;6;65;20.0%
50;5;20;6;70;Победа Защиты
50;5;20;6;70;Победа Защиты
50;5;20;6;70;Победа Защиты
50;5;20;6;70;Победа Защиты
50;5;20;6;70;Победа Защиты
50;5;20;6;70;0.0%
50;5;20;8;35;Победа Защиты
