size;zvaz;max_turn;fora;pul;result
25;5;5;0;25;Победа Атаки intactness=1.0
25;5;5;0;25;Победа Атаки intactness=1.0
25;5;5;0;25;Победа Атаки intactness=None
size;zvaz;max_turn;fora;pul;result
25;5;5;0;25;Победа Защиты
25;5;5;0;25;Победа Защиты
25;5;5;0;25;Победа Атаки intactness=1.0
25;5;5;0;25;Победа Атаки intactness=1.0
25;5;5;0;25;Победа Защиты
25;5;5;0;25;40.0%
25;5;5;0;30;Победа Атаки intactness=1.0
25;5;5;0;30;Победа Защиты
25;5;5;0;30;Победа Защиты
25;5;5;0;30;Победа Защиты
25;5;5;0;30;Победа Защиты
25;5;5;0;30;20.0%
25;5;5;0;35;Победа Атаки intactness=1.0
25;5;5;0;35;Победа Атаки intactness=1.0
25;5;5;0;35;Победа Атаки intactness=1.0
25;5;5;0;35;Победа Защиты
25;5;5;0;35;Победа Защиты
25;5;5;0;35;60.0%
25;5;5;0;40;Победа Атаки intactness=1.0
25;5;5;0;40;Победа Защиты
25;5;5;0;40;Победа Защиты
25;5;5;0;40;Победа Атаки intactness=1.0
25;5;5;0;40;Победа Атаки intactness=1.0
25;5;5;0;40;60.0%
25;5;5;0;45;Победа Защиты
25;5;5;0;45;Победа Защиты
25;5;5;0;45;Победа Защиты
25;5;5;0;45;Победа Защиты
25;5;5;0;45;Победа Защиты
25;5;5;0;45;0.0%
25;5;5;0;50;Победа Защиты
25;5;5;0;50;Победа Атаки intactness=1.0
25;5;5;0;50;Победа Атаки intactness=1.0
25;5;5;0;50;Победа Защиты
25;5;5;0;50;Победа Атаки intactness=1.0
25;5;5;0;50;60.0%
25;5;5;0;55;Победа Защиты
25;5;5;0;55;Победа Защиты
25;5;5;0;55;Победа Защиты
25;5;5;0;55;Победа Защиты
25;5;5;0;55;Победа Защиты
25;5;5;0;55;0.0%
25;5;5;0;60;Победа Защиты
25;5;5;0;60;Победа Атаки intactness=1.0
25;5;5;0;60;Победа Защиты
25;5;5;0;60;Победа Защиты
25;5;5;0;60;Победа Атаки intactness=1.0
25;5;5;0;60;40.0%
25;5;5;0;65;Победа Защиты
25;5;5;0;65;Победа Защиты
25;5;5;0;65;Победа Защиты
25;5;5;0;65;Победа Защиты
