size;zvaz;max_turn;fora;pul;result
10;5;5;0;1;Победа Атаки intactness=1.0
10;5;5;0;1;Победа Атаки intactness=1.0
10;5;5;0;1;Победа Атаки intactness=1.0
10;5;5;0;1;Победа Атаки intactness=1.0
10;5;5;0;1;Победа Атаки intactness=1.0
10;5;5;0;1;100.0%
10;5;5;0;4;Победа Защиты
10;5;5;0;4;Победа Защиты
10;5;5;0;4;Победа Атаки intactness=1.0
10;5;5;0;4;Победа Защиты
10;5;5;0;4;Победа Атаки intactness=1.0
10;5;5;0;4;40.0%
10;5;5;0;7;Победа Защиты
10;5;5;0;7;Победа Защиты
10;5;5;0;7;Победа Атаки intactness=1.0
10;5;5;0;7;Победа Атаки intactness=1.0
10;5;5;0;7;Победа Защиты
10;5;5;0;7;40.0%
10;5;5;0;10;Победа Защиты
10;5;5;0;10;Победа Защиты
10;5;5;0;10;Победа Атаки intactness=1.0
10;5;5;0;10;Победа Атаки intactness=1.0
10;5;5;0;10;Победа Атаки intactness=1.0
10;5;5;0;10;60.0%
10;5;5;0;13;Победа Атаки intactness=1.0
10;5;5;0;13;Победа Защиты
10;5;5;0;13;Победа Защиты
10;5;5;0;13;Победа Защиты
10;5;5;0;13;Победа Защиты
10;5;5;0;13;20.0%
10;5;5;0;16;Победа Атаки intactness=1.0
10;5;5;0;16;Победа Атаки intactness=1.0
10;5;5;0;16;Победа Защиты
10;5;5;0;16;Победа Атаки intactness=1.0
10;5;5;0;16;Победа Защиты
10;5;5;0;16;60.0%
10;5;5;0;19;Победа Защиты
10;5;5;0;19;Победа Атаки intactness=1.0
10;5;5;0;19;Победа Защиты
10;5;5;0;19;Победа Защиты
10;5;5;0;19;Победа Защиты
10;5;5;0;19;20.0%
10;5;5;0;22;Победа Защиты
10;5;5;0;22;Победа Защиты
10;5;5;0;22;Победа Защиты
10;5;5;0;22;Победа Атаки intactness=1.0
10;5;5;0;22;Победа Защиты
10;5;5;0;22;20.0%
10;5;5;0;25;Победа Атаки intactness=1.0
